t,segment,window_sec,rpm_avg_10s,cur_avg_10s,dpps_avg_10s,cpr_avg_10s,rpm_avg_all,cur_avg_all,dpps_avg_all,cpr_avg_all,n_all,duration_sec,data_ok
1772005636.8414695,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005636.8415918,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005637.86059,straight,10.0,-4.314685314685282,-0.09735818435354929,501.81290047885415,3243.7227060109585,23.657556645643613,-0.5505489218711143,1935.1687382289942,3004.92161229811,1427,32.10170658300012,1
1772005637.8607578,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005637.8608782,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005638.8797662,straight,10.0,84.10800310800298,-1.109013202770237,6250.517762887633,3066.5061840703042,35.04307622913855,-0.6714929943693354,2459.3629418649593,2968.626442134867,1478,33.12081715399995,1
1772005638.8799398,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005638.880063,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005639.8798475,straight,10.0,167.02253302253305,-2.14926186252585,10814.326282491142,3269.092440499441,44.5780977312392,-0.7991710186888777,3229.202667892678,2982.6237962444584,1528,34.12089452800001,1
1772005639.8800216,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005639.8801484,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005640.8989067,straight,10.0,248.7474747474743,-3.3349650571211082,18213.581256704587,3104.7160393912313,53.894447962845724,-0.9304411964676172,3933.8088634134842,2984.383759994151,1579,35.13993446800009,1
1772005640.8990815,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005640.8992074,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005641.9186618,straight,10.0,282.60737527114924,-3.8003615574481593,19202.557586982362,2913.8666241030296,62.95071574642132,-1.0513701327007927,4173.593320371728,2938.81998359139,1630,36.15971771399995,1
1772005641.9188352,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
